X,Y,Start_time,Duration (min)
0.0,0.0,17:05,1.0
0.0,0.0,17:06,1.0
-2.0,0.0,17:07,1.0
-2.0,0.0,17:08,1.0
-4.0,0.0,17:09,1.0
-4.0,0.0,17:10,1.0
-6.0,0.0,17:11,1.0
-6.0,0.0,17:12,1.0
-8.0,0.0,17:13,1.0
-8.0,0.0,17:14,1.0
-10.0,0.0,17:15,1.0
-10.0,0.0,17:16,1.0
-12.0,0.0,17:17,1.0
-12.0,0.0,17:18,1.0
-14.0,0.0,17:19,1.0
-14.0,0.0,17:20,1.0
-16.0,0.0,17:21,1.0
-16.0,0.0,17:22,1.0
-18.0,0.0,17:23,1.0
-18.0,0.0,17:24,1.0
-20.0,0.0,17:25,1.0
-20.0,0.0,17:26,1.0
-20.5,0.5,18:31,1.0
-20.5,2.5,18:32,1.0
-20.5,4.5,18:33,1.0
-20.5,6.5,18:34,1.0
-18.5,6.5,18:35,1.0
-16.5,6.5,18:36,1.0
-14.5,6.5,18:37,1.0
-12.5,6.5,18:38,1.0
-10.5,6.5,18:39,1.0
-8.5,6.5,18:40,1.0
-6.5,6.5,18:41,1.0
-4.5,6.5,18:42,1.0
-2.5,6.5,18:43,1.0
-0.5,6.5,18:44,1.0
1.0,6.0,18:45,1.0
1.0,4.0,18:46,1.0
1.0,2.0,18:47,1.0
0.0,0.0,18:48,1.0
