,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 11:13:36,00:0c:e7:4f:38:a5,"[1, 2]","[-45.333333333333336, -59.5]",2
1,4589,center,2018-02-13 11:13:37,00:0c:e7:4f:38:a5,[3],[-73.0],1
2,4589,center,2018-02-13 11:13:38,00:0c:e7:4f:38:a5,[4],[-68.25],1
3,4589,center,2018-02-13 11:13:44,00:0c:e7:4f:38:a5,[4],[-67.0],1
4,4589,center,2018-02-13 11:13:45,00:0c:e7:4f:38:a5,[1],[-48.75],1
5,4589,center,2018-02-13 11:13:47,00:0c:e7:4f:38:a5,"[2, 3]","[-51.9, -72.25]",2
6,4589,center,2018-02-13 11:13:50,00:0c:e7:4f:38:a5,"[1, 4]","[-51.666666666666664, -69.0]",2
7,4589,center,2018-02-13 11:13:56,00:0c:e7:4f:38:a5,"[1, 4]","[-60.0, -67.5]",2
8,4589,center,2018-02-13 11:13:57,00:0c:e7:4f:38:a5,[2],[-54.5],1
9,4589,center,2018-02-13 11:13:59,00:0c:e7:4f:38:a5,[3],[-72.0],1
10,4589,center,2018-02-13 11:14:07,00:0c:e7:4f:38:a5,[1],[-45.2],1
11,4589,center,2018-02-13 11:14:08,00:0c:e7:4f:38:a5,"[2, 3, 4]","[-55.0, -72.25, -66.83333333333333]",3
12,4589,center,2018-02-13 11:14:16,00:0c:e7:4f:38:a5,[1],[-43.166666666666664],1
13,4589,center,2018-02-13 11:14:17,00:0c:e7:4f:38:a5,[2],[-54.0],1
14,4589,center,2018-02-13 11:14:18,00:0c:e7:4f:38:a5,[4],[-66.75],1
15,4589,center,2018-02-13 11:14:19,00:0c:e7:4f:38:a5,[3],[-77.4],1
16,4589,center,2018-02-13 11:14:27,00:0c:e7:4f:38:a5,"[1, 3, 4]","[-53.4, -74.0, -63.333333333333336]",3
17,4589,center,2018-02-13 11:14:28,00:0c:e7:4f:38:a5,[2],[-62.0],1
18,4589,center,2018-02-13 11:14:34,00:0c:e7:4f:38:a5,[4],[-63.75],1
19,4589,center,2018-02-13 11:14:36,00:0c:e7:4f:38:a5,[2],[-59.2],1
20,4589,center,2018-02-13 11:14:37,00:0c:e7:4f:38:a5,[3],[-76.8],1
21,4589,center,2018-02-13 11:14:38,00:0c:e7:4f:38:a5,[1],[-51.0],1
22,4589,center,2018-02-13 11:14:40,00:0c:e7:4f:38:a5,[4],[-62.0],1
23,4589,center,2018-02-13 11:14:45,00:0c:e7:4f:38:a5,[3],[-76.0],1
24,4589,center,2018-02-13 11:14:47,00:0c:e7:4f:38:a5,[1],[-50.4],1
25,4589,center,2018-02-13 11:14:48,00:0c:e7:4f:38:a5,[2],[-62.285714285714285],1
26,4589,center,2018-02-13 11:14:51,00:0c:e7:4f:38:a5,"[3, 4]","[-77.0, -63.833333333333336]",2
27,4589,center,2018-02-13 11:14:55,00:0c:e7:4f:38:a5,[1],[-47.333333333333336],1
28,4589,center,2018-02-13 11:14:56,00:0c:e7:4f:38:a5,[2],[-62.0],1
29,4589,center,2018-02-13 11:14:59,00:0c:e7:4f:38:a5,[1],[-50.333333333333336],1
30,4589,center,2018-02-13 11:15:00,00:0c:e7:4f:38:a5,"[3, 4]","[-77.0, -61.166666666666664]",2
31,4589,center,2018-02-13 11:15:05,00:0c:e7:4f:38:a5,"[3, 4]","[-74.66666666666667, -66.0]",2
32,4589,center,2018-02-13 11:15:07,00:0c:e7:4f:38:a5,[2],[-67.0],1
33,4589,center,2018-02-13 11:15:09,00:0c:e7:4f:38:a5,[1],[-47.2],1
34,4589,center,2018-02-13 11:15:15,00:0c:e7:4f:38:a5,[1],[-48.666666666666664],1
35,4589,center,2018-02-13 11:15:18,00:0c:e7:4f:38:a5,[2],[-66.33333333333333],1
36,4589,center,2018-02-13 11:15:19,00:0c:e7:4f:38:a5,"[3, 4]","[-78.0, -65.5]",2
37,4589,center,2018-02-13 11:15:25,00:0c:e7:4f:38:a5,[3],[-75.0],1
38,4589,center,2018-02-13 11:15:29,00:0c:e7:4f:38:a5,[2],[-67.0],1
39,4589,center,2018-02-13 11:15:30,00:0c:e7:4f:38:a5,"[1, 4]","[-49.6, -63.0]",2
40,4589,center,2018-02-13 11:15:35,00:0c:e7:4f:38:a5,[1],[-50.25],1
41,4589,center,2018-02-13 11:15:36,00:0c:e7:4f:38:a5,[4],[-71.0],1
42,4589,center,2018-02-13 11:15:38,00:0c:e7:4f:38:a5,[3],[-77.0],1
43,4589,center,2018-02-13 11:15:41,00:0c:e7:4f:38:a5,[2],[-64.0],1
44,4589,center,2018-02-13 11:15:44,00:0c:e7:4f:38:a5,"[1, 4]","[-48.0, -62.5]",2
45,4589,center,2018-02-13 11:15:48,00:0c:e7:4f:38:a5,[3],[-77.0],1
46,4589,center,2018-02-13 11:15:50,00:0c:e7:4f:38:a5,[4],[-65.0],1
47,4589,center,2018-02-13 11:15:51,00:0c:e7:4f:38:a5,"[1, 2]","[-50.5, -64.75]",2
48,4589,center,2018-02-13 11:15:57,00:0c:e7:4f:38:a5,"[1, 3]","[-51.0, -76.0]",2
