,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:51:41,c0:ee:fb:72:0c:27,[4],[-62.75],1
1,4589,center,2018-02-13 10:51:44,c0:ee:fb:72:0c:27,[3],[-74.57142857142857],1
2,4589,center,2018-02-13 10:51:45,c0:ee:fb:72:0c:27,"[1, 4]","[-78.5, -64.0]",2
3,4589,center,2018-02-13 10:51:47,c0:ee:fb:72:0c:27,[4],[-60.75],1
4,4589,center,2018-02-13 10:51:48,c0:ee:fb:72:0c:27,"[1, 3]","[-74.18181818181819, -77.33333333333333]",2
5,4589,center,2018-02-13 10:51:51,c0:ee:fb:72:0c:27,[4],[-54.142857142857146],1
6,4589,center,2018-02-13 10:51:53,c0:ee:fb:72:0c:27,[3],[-73.75],1
7,4589,center,2018-02-13 10:51:54,c0:ee:fb:72:0c:27,[1],[-68.54545454545455],1
8,4589,center,2018-02-13 10:51:56,c0:ee:fb:72:0c:27,"[2, 4]","[-78.0, -55.75]",2
9,4589,center,2018-02-13 10:51:58,c0:ee:fb:72:0c:27,[3],[-72.66666666666667],1
10,4589,center,2018-02-13 10:51:59,c0:ee:fb:72:0c:27,"[1, 4]","[-72.16666666666667, -59.1]",2
11,4589,center,2018-02-13 10:52:01,c0:ee:fb:72:0c:27,[2],[-81.66666666666667],1
12,4589,center,2018-02-13 10:52:02,c0:ee:fb:72:0c:27,[4],[-55.57142857142857],1
13,4589,center,2018-02-13 10:52:03,c0:ee:fb:72:0c:27,[3],[-73.0],1
14,4589,center,2018-02-13 10:52:04,c0:ee:fb:72:0c:27,[1],[-71.3076923076923],1
15,4589,center,2018-02-13 10:52:08,c0:ee:fb:72:0c:27,"[1, 3]","[-71.33333333333333, -71.5]",2
16,4589,center,2018-02-13 10:52:10,c0:ee:fb:72:0c:27,"[2, 4]","[-77.0, -49.666666666666664]",2
17,4589,center,2018-02-13 10:52:14,c0:ee:fb:72:0c:27,[3],[-65.4],1
18,4589,center,2018-02-13 10:52:16,c0:ee:fb:72:0c:27,"[2, 4]","[-79.66666666666667, -54.3]",2
19,4589,center,2018-02-13 10:52:18,c0:ee:fb:72:0c:27,[1],[-78.55555555555556],1
20,4589,center,2018-02-13 11:14:08,c0:ee:fb:72:0c:27,"[2, 4]","[-69.5, -74.25]",2
21,4589,center,2018-02-13 11:14:12,c0:ee:fb:72:0c:27,[1],[-52.142857142857146],1
22,4589,center,2018-02-13 11:14:13,c0:ee:fb:72:0c:27,[3],[-85.5],1
23,4589,center,2018-02-13 11:14:16,c0:ee:fb:72:0c:27,[1],[-49.4],1
24,4589,center,2018-02-13 11:14:17,c0:ee:fb:72:0c:27,[2],[-74.1],1
25,4589,center,2018-02-13 11:14:18,c0:ee:fb:72:0c:27,[4],[-75.33333333333333],1
