,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:51:47,84:38:38:f6:58:40,[4],[-64.0],1
1,4589,center,2018-02-13 10:51:48,84:38:38:f6:58:40,"[1, 3]","[-80.0, -77.0]",2
2,4589,center,2018-02-13 11:02:38,84:38:38:f6:58:40,[1],[-51.0],1
3,4589,center,2018-02-13 11:02:39,84:38:38:f6:58:40,[2],[-68.14285714285714],1
4,4589,center,2018-02-13 11:02:40,84:38:38:f6:58:40,[4],[-75.0],1
5,4589,center,2018-02-13 11:02:41,84:38:38:f6:58:40,[1],[-69.0],1
6,4589,center,2018-02-13 11:02:58,84:38:38:f6:58:40,[2],[-82.66666666666667],1
7,4589,center,2018-02-13 11:03:00,84:38:38:f6:58:40,[1],[-75.125],1
8,4589,center,2018-02-13 11:03:32,84:38:38:f6:58:40,[2],[-83.0],1
9,4589,center,2018-02-13 11:03:33,84:38:38:f6:58:40,[1],[-72.66666666666667],1
10,4589,center,2018-02-13 11:15:09,84:38:38:f6:58:40,[1],[-67.25],1
11,4589,center,2018-02-13 11:15:11,84:38:38:f6:58:40,[2],[-78.4],1
12,4589,center,2018-02-13 11:15:12,84:38:38:f6:58:40,[4],[-80.0],1
13,4589,center,2018-02-13 11:15:15,84:38:38:f6:58:40,[1],[-68.0],1
14,4589,center,2018-02-13 11:15:18,84:38:38:f6:58:40,[2],[-73.0],1
15,4589,center,2018-02-13 11:15:30,84:38:38:f6:58:40,[1],[-65.0],1
16,4589,center,2018-02-13 11:15:33,84:38:38:f6:58:40,[2],[-71.0],1
17,4589,center,2018-02-13 11:16:05,84:38:38:f6:58:40,"[1, 2]","[-71.0, -76.0]",2
18,4589,center,2018-02-13 11:17:13,84:38:38:f6:58:40,[2],[-71.28571428571429],1
19,4589,center,2018-02-13 11:17:14,84:38:38:f6:58:40,[4],[-73.0],1
20,4589,center,2018-02-13 11:17:16,84:38:38:f6:58:40,[1],[-60.2],1
21,4589,center,2018-02-13 11:17:29,84:38:38:f6:58:40,[1],[-66.5],1
22,4589,center,2018-02-13 11:17:34,84:38:38:f6:58:40,[1],[-68.6],1
23,4589,center,2018-02-13 11:17:37,84:38:38:f6:58:40,[2],[-79.66666666666667],1
24,4589,center,2018-02-13 11:17:38,84:38:38:f6:58:40,[1],[-66.2],1
25,4589,center,2018-02-13 11:17:43,84:38:38:f6:58:40,[2],[-79.5],1
26,4589,center,2018-02-13 11:17:44,84:38:38:f6:58:40,[1],[-66.66666666666667],1
27,4589,center,2018-02-13 11:17:47,84:38:38:f6:58:40,"[1, 2]","[-66.0, -81.0]",2
28,4589,center,2018-02-13 11:17:53,84:38:38:f6:58:40,[1],[-66.5],1
29,4589,center,2018-02-13 11:17:54,84:38:38:f6:58:40,[2],[-78.66666666666667],1
30,4589,center,2018-02-13 11:17:59,84:38:38:f6:58:40,[1],[-60.714285714285715],1
31,4589,center,2018-02-13 11:18:00,84:38:38:f6:58:40,[2],[-68.25],1
32,4589,center,2018-02-13 11:18:08,84:38:38:f6:58:40,[1],[-67.5],1
33,4589,center,2018-02-13 11:18:09,84:38:38:f6:58:40,[2],[-80.0],1
34,4589,center,2018-02-13 11:18:12,84:38:38:f6:58:40,[4],[-76.0],1
35,4589,center,2018-02-13 11:18:13,84:38:38:f6:58:40,"[1, 2]","[-64.4, -71.2]",2
36,4589,center,2018-02-13 11:18:16,84:38:38:f6:58:40,"[1, 2]","[-66.66666666666667, -82.5]",2
