,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:42:14,18:dc:56:8c:27:56,[4],[-81.0],1
1,4589,center,2018-02-13 10:42:16,18:dc:56:8c:27:56,[3],[-82.5],1
2,4589,center,2018-02-13 10:47:34,18:dc:56:8c:27:56,"[2, 3]","[-83.61538461538461, -68.05]",2
3,4589,center,2018-02-13 10:47:35,18:dc:56:8c:27:56,"[1, 4]","[-76.9, -58.10526315789474]",2
4,4589,center,2018-02-13 10:52:53,18:dc:56:8c:27:56,[4],[-73.78571428571429],1
5,4589,center,2018-02-13 10:52:54,18:dc:56:8c:27:56,[3],[-62.2],1
6,4589,center,2018-02-13 10:58:16,18:dc:56:8c:27:56,"[1, 2, 4]","[-56.23076923076923, -63.666666666666664, -70.72727272727273]",3
7,4589,center,2018-02-13 10:58:20,18:dc:56:8c:27:56,[3],[-80.54545454545455],1
8,4589,center,2018-02-13 11:02:23,18:dc:56:8c:27:56,[2],[-59.833333333333336],1
9,4589,center,2018-02-13 11:02:26,18:dc:56:8c:27:56,[1],[-53.4],1
10,4589,center,2018-02-13 11:02:27,18:dc:56:8c:27:56,"[3, 4]","[-74.66666666666667, -68.8]",2
11,4589,center,2018-02-13 11:02:30,18:dc:56:8c:27:56,[2],[-58.75],1
12,4589,center,2018-02-13 11:02:35,18:dc:56:8c:27:56,"[1, 3]","[-53.266666666666666, -81.0]",2
13,4589,center,2018-02-13 11:02:36,18:dc:56:8c:27:56,"[2, 4]","[-70.0, -73.0]",2
14,4589,center,2018-02-13 11:02:45,18:dc:56:8c:27:56,"[1, 2]","[-57.142857142857146, -51.80952380952381]",2
15,4589,center,2018-02-13 11:02:49,18:dc:56:8c:27:56,[1],[-57.6],1
16,4589,center,2018-02-13 11:02:50,18:dc:56:8c:27:56,[4],[-69.88888888888889],1
17,4589,center,2018-02-13 11:02:51,18:dc:56:8c:27:56,[3],[-73.5],1
18,4589,center,2018-02-13 11:02:55,18:dc:56:8c:27:56,"[2, 4]","[-68.81818181818181, -69.05]",2
19,4589,center,2018-02-13 11:02:56,18:dc:56:8c:27:56,"[1, 3]","[-49.4375, -82.0]",2
20,4589,center,2018-02-13 11:02:58,18:dc:56:8c:27:56,[2],[-65.45454545454545],1
21,4589,center,2018-02-13 11:03:06,18:dc:56:8c:27:56,"[1, 2]","[-60.95, -66.88888888888889]",2
22,4589,center,2018-02-13 11:03:11,18:dc:56:8c:27:56,[4],[-69.88888888888889],1
23,4589,center,2018-02-13 11:03:14,18:dc:56:8c:27:56,[3],[-82.0],1
24,4589,center,2018-02-13 11:03:17,18:dc:56:8c:27:56,[2],[-77.6],1
25,4589,center,2018-02-13 11:03:18,18:dc:56:8c:27:56,[4],[-79.5],1
26,4589,center,2018-02-13 11:03:19,18:dc:56:8c:27:56,[1],[-69.46153846153847],1
27,4589,center,2018-02-13 11:03:27,18:dc:56:8c:27:56,"[2, 3]","[-66.76470588235294, -81.0]",2
28,4589,center,2018-02-13 11:03:28,18:dc:56:8c:27:56,[4],[-72.0],1
29,4589,center,2018-02-13 11:03:30,18:dc:56:8c:27:56,[1],[-50.266666666666666],1
30,4589,center,2018-02-13 11:03:48,18:dc:56:8c:27:56,[1],[-60.82608695652174],1
31,4589,center,2018-02-13 11:03:50,18:dc:56:8c:27:56,[2],[-73.21428571428571],1
32,4589,center,2018-02-13 11:03:51,18:dc:56:8c:27:56,[4],[-75.14285714285714],1
33,4589,center,2018-02-13 11:04:09,18:dc:56:8c:27:56,[2],[-78.61538461538461],1
34,4589,center,2018-02-13 11:04:13,18:dc:56:8c:27:56,[1],[-66.875],1
35,4589,center,2018-02-13 11:04:15,18:dc:56:8c:27:56,[4],[-77.0],1
36,4589,center,2018-02-13 11:04:32,18:dc:56:8c:27:56,[1],[-78.06666666666666],1
37,4589,center,2018-02-13 11:04:33,18:dc:56:8c:27:56,"[2, 4]","[-83.625, -82.0]",2
38,4589,center,2018-02-13 11:08:12,18:dc:56:8c:27:56,[3],[-68.2],1
39,4589,center,2018-02-13 11:08:13,18:dc:56:8c:27:56,[4],[-61.88235294117647],1
40,4589,center,2018-02-13 11:08:15,18:dc:56:8c:27:56,[2],[-82.0],1
41,4589,center,2018-02-13 11:08:16,18:dc:56:8c:27:56,"[1, 3]","[-75.66666666666667, -67.11111111111111]",2
42,4589,center,2018-02-13 11:08:53,18:dc:56:8c:27:56,[4],[-65.46666666666667],1
43,4589,center,2018-02-13 11:08:54,18:dc:56:8c:27:56,[2],[-69.66666666666667],1
44,4589,center,2018-02-13 11:08:56,18:dc:56:8c:27:56,"[1, 3]","[-61.53846153846154, -72.25]",2
45,4589,center,2018-02-13 11:09:33,18:dc:56:8c:27:56,[3],[-78.33333333333333],1
46,4589,center,2018-02-13 11:09:34,18:dc:56:8c:27:56,"[1, 2]","[-56.84615384615385, -62.09090909090909]",2
47,4589,center,2018-02-13 11:09:35,18:dc:56:8c:27:56,[4],[-75.5],1
48,4589,center,2018-02-13 11:09:36,18:dc:56:8c:27:56,[3],[-76.0],1
49,4589,center,2018-02-13 11:10:54,18:dc:56:8c:27:56,"[2, 3, 4]","[-67.80952380952381, -80.5, -74.0]",3
50,4589,center,2018-02-13 11:10:58,18:dc:56:8c:27:56,[1],[-57.18181818181818],1
51,4589,center,2018-02-13 11:12:14,18:dc:56:8c:27:56,[2],[-72.66666666666667],1
