,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 11:13:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-51.22222222222222, -54.166666666666664, -72.5, -68.0]",4
1,4589,center,2018-02-13 11:14:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-48.57575757575758, -59.03125, -75.45, -64.74074074074075]",4
2,4589,center,2018-02-13 11:15:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-49.214285714285715, -66.03703703703704, -76.07142857142857, -64.66666666666667]",4
3,4589,center,2018-02-13 11:18:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-50.0, -62.0625, -77.0, -68.3]",4
4,4589,center,2018-02-13 11:19:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-52.516129032258064, -62.225806451612904, -73.75, -66.98245614035088]",4
5,4589,center,2018-02-13 11:20:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-53.343283582089555, -62.05, -73.1891891891892, -67.1]",4
6,4589,center,2018-02-13 11:21:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-51.629629629629626, -63.74193548387097, -75.45454545454545, -66.6896551724138]",4
7,4589,center,2018-02-13 11:22:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-50.56666666666667, -61.65573770491803, -75.34615384615384, -67.53333333333333]",4
8,4589,center,2018-02-13 11:23:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-51.47826086956522, -58.75, -73.95652173913044, -66.02702702702703]",4
9,4589,center,2018-02-13 11:24:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-48.36363636363637, -50.225, -73.25, -63.11764705882353]",4
10,4589,center,2018-02-13 11:25:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-54.2, -62.7962962962963, -74.63636363636364, -69.51428571428572]",4
11,4589,center,2018-02-13 11:26:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-52.416666666666664, -63.75471698113208, -73.26666666666667, -68.8]",4
12,4589,center,2018-02-13 11:27:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-53.34848484848485, -64.54385964912281, -78.16129032258064, -69.5925925925926]",4
13,4589,center,2018-02-13 11:28:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-54.16981132075472, -63.357142857142854, -77.0, -68.11428571428571]",4
14,4589,center,2018-02-13 11:29:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-53.03846153846154, -62.203125, -76.56, -70.325]",4
15,4589,center,2018-02-13 11:30:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-56.983870967741936, -63.967213114754095, -75.77777777777777, -71.42857142857143]",4
16,4589,center,2018-02-13 11:31:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-54.206896551724135, -59.98571428571429, -77.64285714285714, -70.78048780487805]",4
17,4589,center,2018-02-13 11:32:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-59.89705882352941, -39.95522388059702, -75.91666666666667, -79.6]",4
18,4589,center,2018-02-13 11:33:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-58.86363636363637, -35.98701298701299, -75.61111111111111, -82.5]",4
19,4589,center,2018-02-13 11:34:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-56.9375, -40.8780487804878, -74.90625, -81.75]",4
20,4589,center,2018-02-13 11:35:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-57.592592592592595, -41.31884057971015, -76.225, -80.75]",4
21,4589,center,2018-02-13 11:36:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-57.3, -38.868852459016395, -74.20689655172414, -80.16666666666667]",4
22,4589,center,2018-02-13 11:37:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-55.736111111111114, -41.64, -75.4047619047619, -81.125]",4
23,4589,center,2018-02-13 11:38:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-57.83076923076923, -40.784615384615385, -74.34146341463415, -80.28571428571429]",4
24,4589,center,2018-02-13 11:39:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-59.50819672131148, -44.983870967741936, -74.42222222222222, -81.33333333333333]",4
25,4589,center,2018-02-13 11:40:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-55.05084745762712, -45.80327868852459, -79.41176470588235, -79.3]",4
26,4589,center,2018-02-13 11:41:00,00:0c:e7:4f:38:a5,"[1, 2, 3, 4]","[-55.18, -45.666666666666664, -79.42857142857143, -80.0]",4
