,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:39:00,80:58:f8:d8:ad:e1,[3],[-86.5],1
1,4589,center,2018-02-13 10:40:00,80:58:f8:d8:ad:e1,"[1, 2]","[-75.5, -85.0]",2
2,4589,center,2018-02-13 10:41:00,80:58:f8:d8:ad:e1,"[1, 2]","[-74.26666666666667, -82.75]",2
3,4589,center,2018-02-13 10:43:00,80:58:f8:d8:ad:e1,[3],[-86.0],1
4,4589,center,2018-02-13 10:44:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-86.5, -83.5, -63.333333333333336, -66.81818181818181]",4
5,4589,center,2018-02-13 10:45:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-84.42857142857143, -78.22222222222223, -46.375, -67.6923076923077]",4
6,4589,center,2018-02-13 10:46:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-54.416666666666664, -52.75, -84.0, -81.0]",4
7,4589,center,2018-02-13 10:47:00,80:58:f8:d8:ad:e1,"[1, 3, 4]","[-76.44444444444444, -80.6, -67.07142857142857]",3
8,4589,center,2018-02-13 10:48:00,80:58:f8:d8:ad:e1,[1],[-73.30434782608695],1
9,4589,center,2018-02-13 10:49:00,80:58:f8:d8:ad:e1,"[1, 3, 4]","[-77.81818181818181, -75.76923076923077, -64.47368421052632]",3
10,4589,center,2018-02-13 10:50:00,80:58:f8:d8:ad:e1,"[1, 3, 4]","[-81.625, -72.66666666666667, -66.55555555555556]",3
11,4589,center,2018-02-13 10:51:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-69.44, -72.54054054054055, -67.61363636363636, -50.827586206896555]",4
12,4589,center,2018-02-13 10:52:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-80.0, -68.6842105263158, -57.57142857142857, -68.25]",4
13,4589,center,2018-02-13 10:53:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-75.27692307692308, -64.85321100917432, -58.95145631067961, -73.53731343283582]",4
14,4589,center,2018-02-13 10:56:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-67.66666666666667, -67.6470588235294, -78.45454545454545, -79.6]",4
15,4589,center,2018-02-13 10:59:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-47.4, -68.2, -76.25, -68.33333333333333]",4
16,4589,center,2018-02-13 11:00:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-44.857142857142854, -57.72222222222222, -71.8, -64.72727272727273]",4
17,4589,center,2018-02-13 11:01:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-49.12264150943396, -53.87755102040816, -70.02631578947368, -65.22826086956522]",4
18,4589,center,2018-02-13 11:02:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-47.81818181818182, -64.5, -75.125, -68.14285714285714]",4
19,4589,center,2018-02-13 11:03:00,80:58:f8:d8:ad:e1,"[1, 2, 4]","[-52.0, -63.0, -72.66666666666667]",3
20,4589,center,2018-02-13 11:08:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-63.34615384615385, -68.94117647058823, -69.71428571428571, -62.916666666666664]",4
21,4589,center,2018-02-13 11:11:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-59.8, -67.83333333333333, -80.57142857142857, -71.0]",4
22,4589,center,2018-02-13 11:13:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-51.285714285714285, -60.666666666666664, -76.5, -67.75]",4
23,4589,center,2018-02-13 11:16:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-60.333333333333336, -60.2, -72.88888888888889, -69.33333333333333]",4
24,4589,center,2018-02-13 11:18:00,80:58:f8:d8:ad:e1,[2],[-71.55555555555556],1
25,4589,center,2018-02-13 11:19:00,80:58:f8:d8:ad:e1,"[1, 3]","[-79.0, -67.5]",2
26,4589,center,2018-02-13 11:20:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-81.0, -80.75, -64.11111111111111, -76.2]",4
27,4589,center,2018-02-13 11:21:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-52.03846153846154, -48.693548387096776, -71.0, -66.3]",4
28,4589,center,2018-02-13 11:22:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-47.422222222222224, -64.44444444444444, -72.6, -66.05]",4
