,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:51:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-72.02777777777777, -78.0, -74.38095238095238, -58.36666666666667]",4
1,4589,center,2018-02-13 10:52:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-73.23529411764706, -79.75, -70.96153846153847, -53.03846153846154]",4
2,4589,center,2018-02-13 11:14:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-53.78021978021978, -68.79775280898876, -82.38888888888889, -73.75925925925925]",4
3,4589,center,2018-02-13 11:15:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-53.71875, -65.92857142857143, -74.84615384615384, -68.89655172413794]",4
4,4589,center,2018-02-13 11:16:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-50.294117647058826, -63.86486486486486, -77.33333333333333, -69.53571428571429]",4
5,4589,center,2018-02-13 11:17:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-51.25892857142857, -62.344, -78.17241379310344, -68.47126436781609]",4
6,4589,center,2018-02-13 11:18:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-51.46979865771812, -60.88108108108108, -78.2948717948718, -68.09803921568627]",4
7,4589,center,2018-02-13 11:19:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-55.583333333333336, -64.02580645161291, -77.66197183098592, -68.65354330708661]",4
8,4589,center,2018-02-13 11:20:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-53.459119496855344, -65.26315789473684, -77.09375, -69.93430656934306]",4
9,4589,center,2018-02-13 11:21:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-52.492537313432834, -64.99397590361446, -78.58461538461539, -68.83236994219654]",4
10,4589,center,2018-02-13 11:22:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-54.73033707865169, -66.50602409638554, -78.97183098591549, -69.83333333333333]",4
11,4589,center,2018-02-13 11:23:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-52.51282051282051, -65.63736263736264, -77.2072072072072, -69.61194029850746]",4
12,4589,center,2018-02-13 11:24:00,c0:ee:fb:72:0c:27,"[1, 2, 3, 4]","[-51.287581699346404, -65.1829268292683, -77.15463917525773, -67.92622950819673]",4
