,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:51:00,84:38:38:f6:58:40,"[1, 3, 4]","[-80.0, -77.0, -64.0]",3
1,4589,center,2018-02-13 11:02:00,84:38:38:f6:58:40,"[1, 2, 4]","[-56.142857142857146, -72.5, -75.0]",3
2,4589,center,2018-02-13 11:03:00,84:38:38:f6:58:40,"[1, 2]","[-74.07142857142857, -83.0]",2
3,4589,center,2018-02-13 11:15:00,84:38:38:f6:58:40,"[1, 2, 4]","[-66.5, -75.33333333333333, -80.0]",3
4,4589,center,2018-02-13 11:16:00,84:38:38:f6:58:40,"[1, 2]","[-71.0, -76.0]",2
5,4589,center,2018-02-13 11:17:00,84:38:38:f6:58:40,"[1, 2, 4]","[-64.45161290322581, -75.875, -73.0]",3
6,4589,center,2018-02-13 11:18:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-67.59183673469387, -76.7560975609756, -87.0, -79.2]",4
7,4589,center,2018-02-13 11:19:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-65.47826086956522, -73.95, -79.66666666666667, -72.81818181818181]",4
8,4589,center,2018-02-13 11:20:00,84:38:38:f6:58:40,"[1, 2]","[-69.27083333333333, -77.0]",2
9,4589,center,2018-02-13 11:21:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-64.93877551020408, -76.0, -82.0, -74.61538461538461]",4
10,4589,center,2018-02-13 11:22:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-64.67857142857143, -78.16129032258064, -83.0, -77.0]",4
11,4589,center,2018-02-13 11:23:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-68.12962962962963, -78.67857142857143, -88.0, -79.75]",4
12,4589,center,2018-02-13 11:24:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-66.18181818181819, -76.71428571428571, -83.0, -74.0]",4
13,4589,center,2018-02-13 11:25:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-63.91111111111111, -70.16, -80.5, -76.0]",4
14,4589,center,2018-02-13 11:26:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-65.82608695652173, -74.21621621621621, -84.0, -76.4]",4
15,4589,center,2018-02-13 11:27:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-66.94117647058823, -74.5, -82.5, -76.16666666666667]",4
16,4589,center,2018-02-13 11:28:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-68.51428571428572, -81.88888888888889, -83.0, -76.66666666666667]",4
17,4589,center,2018-02-13 11:29:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-66.69767441860465, -68.92307692307692, -82.85714285714286, -76.375]",4
18,4589,center,2018-02-13 11:30:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-69.41509433962264, -75.77272727272727, -83.5, -76.0]",4
19,4589,center,2018-02-13 11:31:00,84:38:38:f6:58:40,"[1, 2, 3, 4]","[-69.625, -75.8125, -83.0, -79.875]",4
20,4589,center,2018-02-13 11:32:00,84:38:38:f6:58:40,"[1, 2]","[-78.48275862068965, -56.333333333333336]",2
21,4589,center,2018-02-13 11:33:00,84:38:38:f6:58:40,"[1, 2, 3]","[-76.95348837209302, -51.19230769230769, -80.0]",3
22,4589,center,2018-02-13 11:34:00,84:38:38:f6:58:40,"[1, 2, 3]","[-77.44827586206897, -53.61818181818182, -85.0]",3
23,4589,center,2018-02-13 11:35:00,84:38:38:f6:58:40,"[1, 2, 3]","[-77.37837837837837, -53.32203389830509, -83.0]",3
24,4589,center,2018-02-13 11:36:00,84:38:38:f6:58:40,"[1, 2, 3]","[-74.71111111111111, -55.705882352941174, -85.0]",3
25,4589,center,2018-02-13 11:37:00,84:38:38:f6:58:40,"[1, 2, 3]","[-75.38775510204081, -51.225806451612904, -82.75]",3
26,4589,center,2018-02-13 11:38:00,84:38:38:f6:58:40,"[1, 2]","[-75.68888888888888, -59.0377358490566]",2
27,4589,center,2018-02-13 11:39:00,84:38:38:f6:58:40,"[1, 2, 3]","[-75.80392156862744, -64.82692307692308, -88.0]",3
28,4589,center,2018-02-13 11:40:00,84:38:38:f6:58:40,"[1, 2, 3]","[-73.96774193548387, -62.15384615384615, -83.5]",3
29,4589,center,2018-02-13 11:41:00,84:38:38:f6:58:40,"[1, 2, 3]","[-66.36170212765957, -61.2, -81.25]",3
