,nasid,position,ts,mac,controllerid,pwr,count
0,4589,center,2018-02-13 10:42:00,18:dc:56:8c:27:56,"[3, 4]","[-82.5, -81.0]",2
1,4589,center,2018-02-13 10:47:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-76.9, -83.61538461538461, -68.05, -58.10526315789474]",4
2,4589,center,2018-02-13 10:52:00,18:dc:56:8c:27:56,"[3, 4]","[-62.2, -73.78571428571429]",2
3,4589,center,2018-02-13 10:58:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-56.23076923076923, -63.666666666666664, -80.54545454545455, -70.72727272727273]",4
4,4589,center,2018-02-13 11:02:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-53.53333333333333, -61.776119402985074, -76.5, -69.44444444444444]",4
5,4589,center,2018-02-13 11:03:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-60.2112676056338, -70.16949152542372, -81.5, -72.78260869565217]",4
6,4589,center,2018-02-13 11:04:00,18:dc:56:8c:27:56,"[1, 2, 4]","[-74.17391304347827, -80.52380952380952, -80.33333333333333]",3
7,4589,center,2018-02-13 11:08:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-66.0, -70.4375, -70.03333333333333, -63.5625]",4
8,4589,center,2018-02-13 11:09:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-56.84615384615385, -62.09090909090909, -77.0, -75.5]",4
9,4589,center,2018-02-13 11:10:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-57.18181818181818, -67.80952380952381, -80.5, -74.0]",4
10,4589,center,2018-02-13 11:12:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-59.85, -70.85714285714286, -80.14285714285714, -76.33333333333333]",4
11,4589,center,2018-02-13 11:13:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-53.68181818181818, -64.3, -79.0, -71.91666666666667]",4
12,4589,center,2018-02-13 11:14:00,18:dc:56:8c:27:56,"[1, 2]","[-50.86666666666667, -69.86666666666666]",2
13,4589,center,2018-02-13 11:15:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-53.25, -58.35, -77.19047619047619, -73.11111111111111]",4
14,4589,center,2018-02-13 11:16:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-51.32692307692308, -63.86, -76.82352941176471, -67.39583333333333]",4
15,4589,center,2018-02-13 11:17:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-52.78260869565217, -65.25, -80.5, -69.73684210526316]",4
16,4589,center,2018-02-13 11:18:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-55.88148148148148, -66.64666666666666, -80.0, -70.09322033898304]",4
17,4589,center,2018-02-13 11:19:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-56.849673202614376, -67.2542372881356, -79.13725490196079, -71.07317073170732]",4
18,4589,center,2018-02-13 11:20:00,18:dc:56:8c:27:56,"[1, 2, 3, 4]","[-58.95744680851064, -67.97, -81.25, -72.33766233766234]",4
